ObjectID,State,lat,long,population
1,Baden,48.59089459979375,9.0399498,11339260
2,Bayern,48.94675619970553,11.4038717,13435062 
3, Berlin, 52.501521699088066,13.402549799999997,3782202
4, Brandenburg,52.845549199084644,13.246129599999998,2581667
5,Bremen,53.144868999093646,8.6932343,691703
6,Hamburg,53.54376409912386,10.0099133,1910160
7,Hessen,50.60806509932237,9.028464699999999,6420729
8,Mecklenburg-Vorpommern,53.77350639915104,12.575547099999998,1629464
9,Niedersachsen,52.83985309908459,9.075962,8161981
10,Nordrhein-westfalen,51.47892049917536,7.554375099999999,18190422
11,Rheinland-Pfalz,49.95315989946299,7.310646,4174311
12,Saarland,49.384187199597825,6.953736899999999,994424
13,Sachsen-Anhalt,52.0089064991167,11.700334399999997,2180448
14,Sachsen,50.9295797992618,13.4585052,4089467
15,Schleswig-Holstein,54.18539979921813,9.822008899999998,2965691
16, Thuringen,50.90147209926684,11.0377839,2122335
